id_partida,data_utc,data,hora_utc,rodada,status,fase,id_mandante,mandante,id_visitante,visitante,gols_mandante,gols_visitante,resultado,vencedor,saldo_gols_mandante,foi_finalizado
535131,2025-08-17T21:30:00Z,2025-08-17,21:30,20,FINISHED,REGULAR_SEASON,6684,SC Internacional,1783,CR Flamengo,1.0,3.0,A,Visitante,-2.0,True
535126,2025-08-17T23:30:00Z,2025-08-17,23:30,20,FINISHED,REGULAR_SEASON,1770,Botafogo FR,1769,SE Palmeiras,0.0,1.0,A,Visitante,-1.0,True
535129,2025-08-18T23:00:00Z,2025-08-18,23:00,20,FINISHED,REGULAR_SEASON,4364,Mirassol FC,1771,Cruzeiro EC,1.0,1.0,D,Empate,0.0,True
535074,2025-08-20T22:00:00Z,2025-08-20,22:00,14,FINISHED,REGULAR_SEASON,4245,EC Juventude,1780,CR Vasco da Gama,2.0,0.0,H,Mandante,2.0,True
535139,2025-08-23T19:00:00Z,2025-08-23,19:00,21,FINISHED,REGULAR_SEASON,4286,RB Bragantino,1765,Fluminense FC,4.0,2.0,H,Mandante,2.0,True
535140,2025-08-23T21:30:00Z,2025-08-23,21:30,21,FINISHED,REGULAR_SEASON,1771,Cruzeiro EC,6684,SC Internacional,2.0,1.0,H,Mandante,1.0,True
535141,2025-08-24T00:00:00Z,2025-08-24,00:00,21,FINISHED,REGULAR_SEASON,1767,Grêmio FBPA,1837,Ceará SC,0.0,0.0,D,Empate,0.0,True
535136,2025-08-24T19:00:00Z,2025-08-24,19:00,21,FINISHED,REGULAR_SEASON,1780,CR Vasco da Gama,1779,SC Corinthians Paulista,2.0,3.0,A,Visitante,-1.0,True
535142,2025-08-24T19:00:00Z,2025-08-24,19:00,21,FINISHED,REGULAR_SEASON,1777,EC Bahia,6685,Santos FC,2.0,0.0,H,Mandante,2.0,True
535143,2025-08-24T21:30:00Z,2025-08-24,21:30,21,FINISHED,REGULAR_SEASON,3984,Fortaleza EC,4364,Mirassol FC,0.0,1.0,A,Visitante,-1.0,True
535144,2025-08-24T21:30:00Z,2025-08-24,21:30,21,FINISHED,REGULAR_SEASON,4245,EC Juventude,1770,Botafogo FR,1.0,3.0,A,Visitante,-2.0,True
535138,2025-08-24T23:30:00Z,2025-08-24,23:30,21,FINISHED,REGULAR_SEASON,1776,São Paulo FC,1766,CA Mineiro,2.0,0.0,H,Mandante,2.0,True
535137,2025-08-25T22:00:00Z,2025-08-25,22:00,21,FINISHED,REGULAR_SEASON,1769,SE Palmeiras,1778,SC Recife,3.0,0.0,H,Mandante,3.0,True
535135,2025-08-26T00:00:00Z,2025-08-26,00:00,21,FINISHED,REGULAR_SEASON,1783,CR Flamengo,1782,EC Vitória,8.0,0.0,H,Mandante,8.0,True
535153,2025-08-30T19:00:00Z,2025-08-30,19:00,22,FINISHED,REGULAR_SEASON,1837,Ceará SC,4245,EC Juventude,0.0,1.0,A,Visitante,-1.0,True
535146,2025-08-30T21:30:00Z,2025-08-30,21:30,22,FINISHED,REGULAR_SEASON,1770,Botafogo FR,4286,RB Bragantino,4.0,1.0,H,Mandante,3.0,True
535150,2025-08-31T00:00:00Z,2025-08-31,00:00,22,FINISHED,REGULAR_SEASON,1771,Cruzeiro EC,1776,São Paulo FC,1.0,0.0,H,Mandante,1.0,True
535145,2025-08-31T19:00:00Z,2025-08-31,19:00,22,FINISHED,REGULAR_SEASON,1783,CR Flamengo,1767,Grêmio FBPA,1.0,1.0,D,Empate,0.0,True
535148,2025-08-31T19:00:00Z,2025-08-31,19:00,22,FINISHED,REGULAR_SEASON,6685,Santos FC,1765,Fluminense FC,0.0,0.0,D,Empate,0.0,True
535147,2025-08-31T21:30:00Z,2025-08-31,21:30,22,FINISHED,REGULAR_SEASON,1779,SC Corinthians Paulista,1769,SE Palmeiras,1.0,1.0,D,Empate,0.0,True
535149,2025-08-31T21:30:00Z,2025-08-31,21:30,22,FINISHED,REGULAR_SEASON,4364,Mirassol FC,1777,EC Bahia,5.0,1.0,H,Mandante,4.0,True
535152,2025-08-31T21:30:00Z,2025-08-31,21:30,22,FINISHED,REGULAR_SEASON,1782,EC Vitória,1766,CA Mineiro,1.0,0.0,H,Mandante,1.0,True
535151,2025-08-31T23:30:00Z,2025-08-31,23:30,22,FINISHED,REGULAR_SEASON,6684,SC Internacional,3984,Fortaleza EC,2.0,1.0,H,Mandante,1.0,True
535154,2025-08-31T23:30:00Z,2025-08-31,23:30,22,FINISHED,REGULAR_SEASON,1778,SC Recife,1780,CR Vasco da Gama,2.0,3.0,A,Visitante,-1.0,True
535161,2025-09-13T19:00:00Z,2025-09-13,19:00,23,TIMED,REGULAR_SEASON,1767,Grêmio FBPA,4364,Mirassol FC,,,,Indefinido,,False
535163,2025-09-13T19:00:00Z,2025-09-13,19:00,23,TIMED,REGULAR_SEASON,3984,Fortaleza EC,1782,EC Vitória,,,,Indefinido,,False
535157,2025-09-13T21:30:00Z,2025-09-13,21:30,23,TIMED,REGULAR_SEASON,1769,SE Palmeiras,6684,SC Internacional,,,,Indefinido,,False
535155,2025-09-14T00:00:00Z,2025-09-14,00:00,23,TIMED,REGULAR_SEASON,1765,Fluminense FC,1779,SC Corinthians Paulista,,,,Indefinido,,False
535159,2025-09-14T14:00:00Z,2025-09-14,14:00,23,TIMED,REGULAR_SEASON,4286,RB Bragantino,1778,SC Recife,,,,Indefinido,,False
535160,2025-09-14T19:00:00Z,2025-09-14,19:00,23,TIMED,REGULAR_SEASON,1766,CA Mineiro,6685,Santos FC,,,,Indefinido,,False
535164,2025-09-14T19:00:00Z,2025-09-14,19:00,23,TIMED,REGULAR_SEASON,4245,EC Juventude,1783,CR Flamengo,,,,Indefinido,,False
535158,2025-09-14T20:30:00Z,2025-09-14,20:30,23,TIMED,REGULAR_SEASON,1776,São Paulo FC,1770,Botafogo FR,,,,Indefinido,,False
535156,2025-09-14T23:30:00Z,2025-09-14,23:30,23,TIMED,REGULAR_SEASON,1780,CR Vasco da Gama,1837,Ceará SC,,,,Indefinido,,False
535162,2025-09-15T23:00:00Z,2025-09-15,23:00,23,TIMED,REGULAR_SEASON,1777,EC Bahia,1771,Cruzeiro EC,,,,Indefinido,,False
535046,2025-09-17T22:30:00Z,2025-09-17,22:30,12,TIMED,REGULAR_SEASON,1770,Botafogo FR,4364,Mirassol FC,,,,Indefinido,,False
535172,2025-09-20T19:00:00Z,2025-09-20,19:00,24,TIMED,REGULAR_SEASON,1782,EC Vitória,1765,Fluminense FC,,,,Indefinido,,False
535166,2025-09-20T21:30:00Z,2025-09-20,21:30,24,TIMED,REGULAR_SEASON,1770,Botafogo FR,1766,CA Mineiro,,,,Indefinido,,False
535173,2025-09-20T21:30:00Z,2025-09-20,21:30,24,TIMED,REGULAR_SEASON,1837,Ceará SC,1777,EC Bahia,,,,Indefinido,,False
535167,2025-09-21T00:00:00Z,2025-09-21,00:00,24,TIMED,REGULAR_SEASON,1769,SE Palmeiras,3984,Fortaleza EC,,,,Indefinido,,False
535169,2025-09-21T19:00:00Z,2025-09-21,19:00,24,TIMED,REGULAR_SEASON,4364,Mirassol FC,4245,EC Juventude,,,,Indefinido,,False
535165,2025-09-21T20:30:00Z,2025-09-21,20:30,24,TIMED,REGULAR_SEASON,1783,CR Flamengo,1780,CR Vasco da Gama,,,,Indefinido,,False
535171,2025-09-21T20:30:00Z,2025-09-21,20:30,24,TIMED,REGULAR_SEASON,6684,SC Internacional,1767,Grêmio FBPA,,,,Indefinido,,False
535174,2025-09-21T20:30:00Z,2025-09-21,20:30,24,TIMED,REGULAR_SEASON,1778,SC Recife,1779,SC Corinthians Paulista,,,,Indefinido,,False
535168,2025-09-21T23:30:00Z,2025-09-21,23:30,24,TIMED,REGULAR_SEASON,6685,Santos FC,1776,São Paulo FC,,,,Indefinido,,False
535170,2025-09-21T23:30:00Z,2025-09-21,23:30,24,TIMED,REGULAR_SEASON,1771,Cruzeiro EC,4286,RB Bragantino,,,,Indefinido,,False
535086,2025-09-24T22:30:00Z,2025-09-24,22:30,16,TIMED,REGULAR_SEASON,1780,CR Vasco da Gama,1777,EC Bahia,,,,Indefinido,,False
535091,2025-09-24T22:30:00Z,2025-09-24,22:30,16,TIMED,REGULAR_SEASON,1767,Grêmio FBPA,1770,Botafogo FR,,,,Indefinido,,False
535183,2025-09-27T19:00:00Z,2025-09-27,19:00,25,TIMED,REGULAR_SEASON,3984,Fortaleza EC,1778,SC Recife,,,,Indefinido,,False
535176,2025-09-27T21:30:00Z,2025-09-27,21:30,25,TIMED,REGULAR_SEASON,1780,CR Vasco da Gama,1771,Cruzeiro EC,,,,Indefinido,,False
535184,2025-09-27T21:30:00Z,2025-09-27,21:30,25,TIMED,REGULAR_SEASON,4245,EC Juventude,6684,SC Internacional,,,,Indefinido,,False
535180,2025-09-28T00:00:00Z,2025-09-28,00:00,25,TIMED,REGULAR_SEASON,1766,CA Mineiro,4364,Mirassol FC,,,,Indefinido,,False
535181,2025-09-28T14:00:00Z,2025-09-28,14:00,25,TIMED,REGULAR_SEASON,1767,Grêmio FBPA,1782,EC Vitória,,,,Indefinido,,False
535175,2025-09-28T19:00:00Z,2025-09-28,19:00,25,TIMED,REGULAR_SEASON,1765,Fluminense FC,1770,Botafogo FR,,,,Indefinido,,False
535182,2025-09-28T19:00:00Z,2025-09-28,19:00,25,TIMED,REGULAR_SEASON,1777,EC Bahia,1769,SE Palmeiras,,,,Indefinido,,False
535179,2025-09-28T21:30:00Z,2025-09-28,21:30,25,TIMED,REGULAR_SEASON,4286,RB Bragantino,6685,Santos FC,,,,Indefinido,,False
535177,2025-09-28T23:30:00Z,2025-09-28,23:30,25,TIMED,REGULAR_SEASON,1779,SC Corinthians Paulista,1783,CR Flamengo,,,,Indefinido,,False
535178,2025-09-29T23:00:00Z,2025-09-29,23:00,25,TIMED,REGULAR_SEASON,1776,São Paulo FC,1837,Ceará SC,,,,Indefinido,,False
535190,2025-10-01T00:30:00Z,2025-10-01,00:30,26,TIMED,REGULAR_SEASON,1766,CA Mineiro,4245,EC Juventude,,,,Indefinido,,False
535187,2025-10-01T22:00:00Z,2025-10-01,22:00,26,TIMED,REGULAR_SEASON,1769,SE Palmeiras,1780,CR Vasco da Gama,,,,Indefinido,,False
535189,2025-10-01T22:00:00Z,2025-10-01,22:00,26,TIMED,REGULAR_SEASON,4364,Mirassol FC,4286,RB Bragantino,,,,Indefinido,,False
535194,2025-10-01T22:00:00Z,2025-10-01,22:00,26,TIMED,REGULAR_SEASON,1778,SC Recife,1765,Fluminense FC,,,,Indefinido,,False
535191,2025-10-01T22:30:00Z,2025-10-01,22:30,26,TIMED,REGULAR_SEASON,6684,SC Internacional,1779,SC Corinthians Paulista,,,,Indefinido,,False
535186,2025-10-02T00:30:00Z,2025-10-02,00:30,26,TIMED,REGULAR_SEASON,1770,Botafogo FR,1777,EC Bahia,,,,Indefinido,,False
535188,2025-10-02T00:30:00Z,2025-10-02,00:30,26,TIMED,REGULAR_SEASON,6685,Santos FC,1767,Grêmio FBPA,,,,Indefinido,,False
535192,2025-10-02T22:00:00Z,2025-10-02,22:00,26,TIMED,REGULAR_SEASON,1782,EC Vitória,1837,Ceará SC,,,,Indefinido,,False
535193,2025-10-02T22:30:00Z,2025-10-02,22:30,26,TIMED,REGULAR_SEASON,3984,Fortaleza EC,1776,São Paulo FC,,,,Indefinido,,False
535185,2025-10-02T23:30:00Z,2025-10-02,23:30,26,TIMED,REGULAR_SEASON,1783,CR Flamengo,1771,Cruzeiro EC,,,,Indefinido,,False
535195,2025-10-04T21:30:00Z,2025-10-04,21:30,27,TIMED,REGULAR_SEASON,1765,Fluminense FC,1766,CA Mineiro,,,,Indefinido,,False
535199,2025-10-04T21:30:00Z,2025-10-04,21:30,27,TIMED,REGULAR_SEASON,4286,RB Bragantino,1767,Grêmio FBPA,,,,Indefinido,,False
535201,2025-10-04T21:30:00Z,2025-10-04,21:30,27,TIMED,REGULAR_SEASON,6684,SC Internacional,1770,Botafogo FR,,,,Indefinido,,False
535197,2025-10-05T00:00:00Z,2025-10-05,00:00,27,TIMED,REGULAR_SEASON,1779,SC Corinthians Paulista,4364,Mirassol FC,,,,Indefinido,,False
535196,2025-10-05T19:00:00Z,2025-10-05,19:00,27,TIMED,REGULAR_SEASON,1780,CR Vasco da Gama,1782,EC Vitória,,,,Indefinido,,False
535198,2025-10-05T19:00:00Z,2025-10-05,19:00,27,TIMED,REGULAR_SEASON,1776,São Paulo FC,1769,SE Palmeiras,,,,Indefinido,,False
535202,2025-10-05T21:30:00Z,2025-10-05,21:30,27,TIMED,REGULAR_SEASON,1777,EC Bahia,1783,CR Flamengo,,,,Indefinido,,False
535204,2025-10-05T21:30:00Z,2025-10-05,21:30,27,TIMED,REGULAR_SEASON,4245,EC Juventude,3984,Fortaleza EC,,,,Indefinido,,False
535200,2025-10-05T23:30:00Z,2025-10-05,23:30,27,TIMED,REGULAR_SEASON,1771,Cruzeiro EC,1778,SC Recife,,,,Indefinido,,False
535203,2025-10-05T23:30:00Z,2025-10-05,23:30,27,TIMED,REGULAR_SEASON,1837,Ceará SC,6685,Santos FC,,,,Indefinido,,False
535205,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,1765,Fluminense FC,4245,EC Juventude,,,,Indefinido,,False
535206,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,1770,Botafogo FR,1783,CR Flamengo,,,,Indefinido,,False
535207,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,1769,SE Palmeiras,4286,RB Bragantino,,,,Indefinido,,False
535208,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,6685,Santos FC,1779,SC Corinthians Paulista,,,,Indefinido,,False
535209,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,4364,Mirassol FC,6684,SC Internacional,,,,Indefinido,,False
535210,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,1766,CA Mineiro,1771,Cruzeiro EC,,,,Indefinido,,False
535211,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,1767,Grêmio FBPA,1776,São Paulo FC,,,,Indefinido,,False
535212,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,1782,EC Vitória,1777,EC Bahia,,,,Indefinido,,False
535213,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,3984,Fortaleza EC,1780,CR Vasco da Gama,,,,Indefinido,,False
535214,2025-10-25T00:00:00Z,2025-10-25,00:00,28,SCHEDULED,REGULAR_SEASON,1778,SC Recife,1837,Ceará SC,,,,Indefinido,,False
535215,2025-11-05T00:00:00Z,2025-11-05,00:00,29,SCHEDULED,REGULAR_SEASON,1783,CR Flamengo,1769,SE Palmeiras,,,,Indefinido,,False
535216,2025-11-05T00:00:00Z,2025-11-05,00:00,29,SCHEDULED,REGULAR_SEASON,1780,CR Vasco da Gama,1765,Fluminense FC,,,,Indefinido,,False
